               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,           0.0040135,           0.0027518,            0.025666,             0.73446,             0.83086,             0.85027,             0.70221,           0.0075595,           0.0038233,            0.011343,            0.007459,            0.007459,            0.007459
                  79,           0.0039699,           0.0027227,            0.025569,             0.73104,             0.83154,             0.85059,             0.70486,            0.007575,           0.0038212,            0.011312,            0.007426,            0.007426,            0.007426
                  80,           0.0039361,           0.0027161,            0.025492,             0.73209,             0.83509,             0.85042,             0.70435,           0.0075855,           0.0038206,            0.011307,            0.007393,            0.007393,            0.007393
                  81,           0.0039164,           0.0026955,            0.025706,             0.73016,             0.83691,             0.84982,             0.70156,           0.0076005,           0.0038269,            0.011305,             0.00736,             0.00736,             0.00736
                  82,           0.0039032,           0.0027086,            0.025706,             0.73161,             0.83881,             0.85045,              0.7032,           0.0075923,           0.0038265,            0.011306,            0.007327,            0.007327,            0.007327
                  83,           0.0039312,           0.0026946,            0.025621,             0.73336,             0.84002,             0.85252,             0.70406,           0.0075824,            0.003829,             0.01131,            0.007294,            0.007294,            0.007294
                  84,           0.0039331,           0.0027054,            0.025556,             0.73281,             0.83931,              0.8528,             0.70462,           0.0075981,           0.0038342,            0.011298,            0.007261,            0.007261,            0.007261
                  85,           0.0039373,           0.0026923,            0.025405,             0.73195,             0.83808,              0.8532,             0.70312,           0.0076099,           0.0038429,             0.01129,            0.007228,            0.007228,            0.007228
                  86,           0.0038547,           0.0026786,            0.025619,             0.73147,             0.83551,              0.8545,             0.70492,           0.0076106,           0.0038499,            0.011273,            0.007195,            0.007195,            0.007195
                  87,           0.0038964,           0.0026924,            0.025582,             0.73361,             0.81778,             0.85602,             0.70463,           0.0076163,           0.0038605,             0.01127,            0.007162,            0.007162,            0.007162
                  88,            0.003838,           0.0026875,            0.025491,             0.73566,             0.81834,             0.85679,             0.70389,           0.0076231,           0.0038698,            0.011246,            0.007129,            0.007129,            0.007129
                  89,           0.0038149,           0.0026719,            0.025404,             0.75276,             0.81482,              0.8571,             0.70513,           0.0076194,            0.003871,            0.011209,            0.007096,            0.007096,            0.007096
                  90,           0.0038276,           0.0026383,            0.025196,             0.75392,             0.81408,             0.85787,             0.70657,            0.007632,           0.0038764,            0.011188,            0.007063,            0.007063,            0.007063
                  91,           0.0038185,           0.0026895,            0.025166,             0.75294,             0.81389,             0.85981,             0.70711,           0.0076395,           0.0038781,            0.011179,             0.00703,             0.00703,             0.00703
                  92,           0.0037736,           0.0026468,            0.025234,             0.75303,             0.81354,             0.85894,              0.7058,            0.007639,           0.0038786,            0.011168,            0.006997,            0.006997,            0.006997
                  93,           0.0037695,           0.0026632,             0.02504,             0.75308,              0.8128,             0.85948,             0.70549,            0.007657,           0.0038836,            0.011147,            0.006964,            0.006964,            0.006964
                  94,           0.0037442,           0.0026184,            0.025153,              0.7539,             0.81181,              0.8595,             0.70478,           0.0076699,           0.0038898,            0.011129,            0.006931,            0.006931,            0.006931
                  95,           0.0037558,           0.0025913,             0.02519,              0.7538,             0.81238,             0.86025,             0.70504,           0.0076945,           0.0038909,            0.011105,            0.006898,            0.006898,            0.006898
                  96,           0.0037492,           0.0026345,            0.025324,             0.75428,             0.81157,             0.86076,             0.70345,           0.0077033,           0.0038933,            0.011089,            0.006865,            0.006865,            0.006865
                  97,           0.0037201,           0.0025975,            0.025289,             0.75463,             0.81145,             0.86035,             0.70221,           0.0077176,           0.0038979,            0.011086,            0.006832,            0.006832,            0.006832
                  98,           0.0037655,           0.0026382,            0.025151,             0.75513,             0.80965,             0.86136,             0.70628,           0.0077159,           0.0039008,            0.011087,            0.006799,            0.006799,            0.006799
                  99,           0.0037142,            0.002613,            0.025251,             0.75273,             0.80904,             0.86157,             0.70622,           0.0077133,            0.003908,            0.011077,            0.006766,            0.006766,            0.006766
                 100,           0.0037018,           0.0025659,            0.025109,             0.75283,             0.80806,             0.86166,             0.70523,           0.0077093,           0.0039102,            0.011078,            0.006733,            0.006733,            0.006733
                 101,           0.0036823,           0.0026125,            0.025023,             0.75514,             0.80752,             0.86191,             0.70561,           0.0076898,           0.0039075,            0.011072,              0.0067,              0.0067,              0.0067
                 102,           0.0036356,           0.0025756,            0.024991,             0.75963,             0.80633,             0.85926,             0.70179,           0.0076827,           0.0039135,            0.011071,            0.006667,            0.006667,            0.006667
                 103,           0.0036554,           0.0026045,            0.024915,             0.75999,             0.80631,             0.85917,             0.70451,           0.0076817,            0.003918,            0.011075,            0.006634,            0.006634,            0.006634
                 104,           0.0036581,            0.002565,            0.024837,             0.76053,             0.80642,             0.86127,             0.70545,           0.0076634,           0.0039218,            0.011084,            0.006601,            0.006601,            0.006601
                 105,           0.0036472,           0.0025862,            0.025177,             0.75972,             0.80712,             0.86194,              0.7042,             0.00764,           0.0039285,            0.011078,            0.006568,            0.006568,            0.006568
                 106,           0.0036346,           0.0025628,             0.02507,             0.75935,             0.80794,             0.86221,              0.7041,           0.0076389,           0.0039401,            0.011075,            0.006535,            0.006535,            0.006535
                 107,           0.0036244,           0.0025574,            0.024725,             0.75892,             0.80892,              0.8621,             0.70521,           0.0076534,           0.0039482,            0.011074,            0.006502,            0.006502,            0.006502
                 108,           0.0036012,           0.0025564,            0.024779,             0.75921,             0.80948,             0.86163,             0.70519,            0.007674,           0.0039553,            0.011074,            0.006469,            0.006469,            0.006469
                 109,           0.0035919,           0.0025396,            0.024808,             0.75808,             0.80968,             0.86171,              0.7055,           0.0076945,           0.0039557,            0.011049,            0.006436,            0.006436,            0.006436
                 110,           0.0035728,           0.0025396,            0.024586,             0.75765,             0.81035,             0.86432,             0.70768,           0.0077036,           0.0039649,            0.011031,            0.006403,            0.006403,            0.006403
                 111,           0.0035661,           0.0025463,            0.024882,             0.75816,             0.81039,             0.86471,              0.7068,           0.0077178,            0.003967,            0.011033,             0.00637,             0.00637,             0.00637
                 112,           0.0035557,           0.0025454,            0.024887,             0.80667,             0.78516,             0.86833,             0.71014,           0.0077174,           0.0039703,            0.011028,            0.006337,            0.006337,            0.006337
                 113,           0.0035165,           0.0025012,             0.02469,             0.80772,             0.78625,             0.86797,             0.70991,           0.0077143,           0.0039741,            0.011015,            0.006304,            0.006304,            0.006304
                 114,           0.0035276,           0.0024802,            0.024844,             0.80761,             0.78563,             0.86813,             0.70822,           0.0077207,           0.0039838,            0.011023,            0.006271,            0.006271,            0.006271
                 115,           0.0035148,           0.0025442,            0.024978,             0.80809,             0.78568,             0.86846,             0.70863,            0.007719,           0.0039873,            0.011005,            0.006238,            0.006238,            0.006238
                 116,           0.0035149,            0.002522,            0.024773,              0.8088,             0.78572,             0.86861,             0.70885,            0.007723,           0.0039889,            0.010992,            0.006205,            0.006205,            0.006205
                 117,           0.0035249,           0.0024919,            0.024673,             0.80689,             0.78604,             0.86871,             0.70709,           0.0077232,           0.0039891,            0.010984,            0.006172,            0.006172,            0.006172
                 118,           0.0034918,           0.0025268,            0.024672,              0.8051,             0.78587,              0.8692,             0.70783,           0.0077356,           0.0039865,            0.010986,            0.006139,            0.006139,            0.006139
                 119,           0.0034942,            0.002478,            0.024492,             0.80272,              0.7858,             0.86871,             0.70724,           0.0077335,           0.0039917,            0.010977,            0.006106,            0.006106,            0.006106
                 120,           0.0034674,           0.0025051,            0.024769,             0.80121,             0.78574,             0.86784,              0.7067,           0.0077106,           0.0039907,            0.010975,            0.006073,            0.006073,            0.006073
                 121,           0.0034537,            0.002447,            0.024509,             0.80015,             0.78556,             0.86853,             0.70684,           0.0077049,           0.0039922,            0.010974,             0.00604,             0.00604,             0.00604
                 122,           0.0034157,           0.0025356,            0.024699,             0.80164,             0.78566,             0.86823,             0.70614,           0.0077176,               0.004,            0.010966,            0.006007,            0.006007,            0.006007
                 123,           0.0034304,           0.0024969,            0.024467,             0.80059,             0.78603,             0.86812,             0.70594,           0.0077376,           0.0040088,            0.010952,            0.005974,            0.005974,            0.005974
                 124,           0.0034218,           0.0024834,            0.024585,             0.80054,             0.78615,             0.86707,             0.70516,           0.0077518,           0.0040162,            0.010953,            0.005941,            0.005941,            0.005941
                 125,           0.0033953,           0.0024452,            0.024477,             0.80057,             0.78642,             0.86755,             0.70544,           0.0077629,            0.004022,             0.01094,            0.005908,            0.005908,            0.005908
                 126,           0.0033914,           0.0025196,            0.024438,             0.80109,             0.78646,             0.86754,             0.70558,           0.0077887,           0.0040234,            0.010922,            0.005875,            0.005875,            0.005875
