               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,           0.0024629,           0.0017541,            0.018226,             0.72121,             0.80369,               0.868,                0.86,          0.00092729,           0.0029812,           0.0058103,            0.007129,            0.007129,            0.007129
                  89,           0.0024956,           0.0017765,            0.018339,              0.7216,             0.80414,             0.86781,             0.85796,          0.00090695,           0.0029967,           0.0058025,            0.007096,            0.007096,            0.007096
                  90,           0.0024506,           0.0017674,             0.01823,             0.72768,             0.80481,             0.86821,             0.85867,          0.00090808,           0.0030024,           0.0057923,            0.007063,            0.007063,            0.007063
                  91,           0.0024879,           0.0017707,            0.018167,             0.73036,             0.80267,             0.87023,             0.86158,          0.00088497,           0.0030147,           0.0057966,             0.00703,             0.00703,             0.00703
                  92,            0.002476,           0.0017717,            0.018179,             0.72962,             0.80582,             0.87032,             0.85974,          0.00087069,           0.0030321,           0.0057881,            0.006997,            0.006997,            0.006997
                  93,           0.0024018,           0.0017476,            0.017807,             0.70679,             0.82976,             0.87036,             0.86164,          0.00085787,           0.0030346,           0.0057809,            0.006964,            0.006964,            0.006964
                  94,           0.0024513,           0.0017651,            0.018146,             0.71136,             0.82986,             0.87049,             0.86216,          0.00084806,           0.0030368,            0.005778,            0.006931,            0.006931,            0.006931
                  95,           0.0023922,           0.0017368,             0.01822,             0.71203,             0.83016,             0.87019,              0.8619,          0.00084593,           0.0030452,           0.0057724,            0.006898,            0.006898,            0.006898
                  96,           0.0023788,           0.0017231,            0.018181,             0.71155,             0.83091,             0.87056,             0.86227,          0.00083845,           0.0030602,           0.0057724,            0.006865,            0.006865,            0.006865
                  97,            0.002328,            0.001739,            0.017987,             0.71508,             0.83458,             0.86986,             0.86335,          0.00083608,           0.0030703,           0.0057789,            0.006832,            0.006832,            0.006832
                  98,           0.0023918,           0.0017376,            0.018233,             0.71633,             0.82602,             0.87088,             0.86373,          0.00082246,           0.0030708,           0.0057825,            0.006799,            0.006799,            0.006799
                  99,           0.0023894,           0.0017229,            0.018176,             0.71433,             0.83146,              0.8713,              0.8665,          0.00081709,           0.0030736,           0.0057838,            0.006766,            0.006766,            0.006766
                 100,           0.0023772,           0.0017103,            0.018095,             0.71401,             0.83181,             0.87318,             0.86838,          0.00080458,           0.0030785,           0.0057868,            0.006733,            0.006733,            0.006733
                 101,           0.0023082,           0.0017423,            0.017974,             0.70352,             0.88686,             0.87403,             0.87071,          0.00077985,           0.0030831,           0.0057858,              0.0067,              0.0067,              0.0067
                 102,           0.0023536,           0.0016979,            0.018294,             0.70106,             0.88989,              0.8725,             0.86808,          0.00077067,           0.0030992,            0.005791,            0.006667,            0.006667,            0.006667
                 103,           0.0023472,           0.0017253,            0.017923,             0.70372,             0.88945,             0.87241,              0.8691,          0.00076505,           0.0031068,           0.0057953,            0.006634,            0.006634,            0.006634
                 104,           0.0022919,           0.0017065,            0.017811,             0.70711,             0.88435,             0.87117,             0.86793,          0.00075267,           0.0030997,           0.0057855,            0.006601,            0.006601,            0.006601
                 105,            0.002367,           0.0017038,            0.017958,             0.71034,             0.88277,             0.87152,             0.86851,           0.0007385,           0.0030899,           0.0057848,            0.006568,            0.006568,            0.006568
                 106,           0.0023094,            0.001699,            0.017919,             0.71412,             0.88743,              0.8716,              0.8686,          0.00071654,           0.0030828,           0.0057953,            0.006535,            0.006535,            0.006535
                 107,           0.0023336,           0.0016995,            0.017811,             0.71667,             0.87561,              0.8691,             0.86683,          0.00069552,           0.0030687,           0.0058074,            0.006502,            0.006502,            0.006502
                 108,           0.0023752,           0.0016917,            0.017779,             0.71727,             0.88739,             0.86869,             0.86659,            0.000676,           0.0030629,           0.0058201,            0.006469,            0.006469,            0.006469
                 109,           0.0023499,           0.0017312,            0.017765,             0.71673,             0.88312,             0.86853,             0.86623,           0.0006639,           0.0030629,           0.0058175,            0.006436,            0.006436,            0.006436
                 110,            0.002281,           0.0016937,            0.017832,              0.7165,             0.88389,             0.86888,             0.86659,          0.00065029,           0.0030662,           0.0058103,            0.006403,            0.006403,            0.006403
                 111,           0.0023493,           0.0016862,            0.017922,              0.7153,             0.88104,             0.86988,             0.86799,          0.00064701,           0.0030651,           0.0058048,             0.00637,             0.00637,             0.00637
                 112,           0.0023173,           0.0016731,             0.01802,               0.714,             0.88109,             0.86864,             0.86657,          0.00064536,           0.0030648,           0.0057907,            0.006337,            0.006337,            0.006337
                 113,           0.0022823,            0.001657,            0.017763,             0.71536,             0.87871,             0.86844,             0.86654,          0.00064696,           0.0030556,           0.0057852,            0.006304,            0.006304,            0.006304
                 114,           0.0022869,           0.0016654,            0.017812,             0.71046,             0.88685,             0.86885,             0.86682,          0.00065096,           0.0030597,           0.0057829,            0.006271,            0.006271,            0.006271
                 115,           0.0022194,           0.0016396,            0.017809,             0.70982,             0.88674,             0.86954,             0.86757,          0.00063825,           0.0030586,           0.0057835,            0.006238,            0.006238,            0.006238
                 116,           0.0022995,           0.0016495,            0.017913,               0.711,             0.88297,             0.86837,             0.86654,          0.00062825,           0.0030449,           0.0057852,            0.006205,            0.006205,            0.006205
                 117,            0.002301,             0.00168,            0.017827,             0.71021,             0.88074,             0.87161,             0.87104,          0.00062265,           0.0030425,           0.0057842,            0.006172,            0.006172,            0.006172
                 118,           0.0022478,           0.0016524,            0.017705,             0.70602,             0.88237,             0.87079,             0.87079,          0.00060728,            0.003037,           0.0057721,            0.006139,            0.006139,            0.006139
                 119,           0.0022178,           0.0016493,            0.017533,             0.70557,             0.88111,              0.8722,              0.8722,          0.00061023,           0.0030469,           0.0057567,            0.006106,            0.006106,            0.006106
                 120,           0.0022199,           0.0016748,            0.017774,             0.70364,             0.88091,             0.86889,             0.86889,          0.00061737,           0.0030537,           0.0057593,            0.006073,            0.006073,            0.006073
                 121,           0.0022651,           0.0016309,            0.017825,             0.70222,             0.88249,             0.87152,             0.87152,          0.00061259,           0.0030629,           0.0057613,             0.00604,             0.00604,             0.00604
                 122,           0.0022196,           0.0016459,            0.017867,             0.70241,             0.88409,             0.86972,             0.86972,          0.00060631,           0.0030632,           0.0057646,            0.006007,            0.006007,            0.006007
                 123,           0.0021772,           0.0016399,             0.01772,             0.69258,             0.88519,             0.86729,             0.86729,          0.00058665,           0.0030496,           0.0057724,            0.005974,            0.005974,            0.005974
                 124,           0.0021631,            0.001603,             0.01766,             0.69564,             0.88827,             0.86714,             0.86714,          0.00057415,            0.003039,           0.0057678,            0.005941,            0.005941,            0.005941
                 125,           0.0022023,             0.00162,            0.017628,              0.6913,             0.89641,             0.86573,             0.86573,          0.00059059,           0.0030387,           0.0057691,            0.005908,            0.005908,            0.005908
                 126,           0.0021565,            0.001617,            0.017492,             0.69386,             0.89406,             0.86585,             0.86585,          0.00058062,           0.0030395,           0.0057668,            0.005875,            0.005875,            0.005875
                 127,           0.0021603,           0.0016044,            0.017519,             0.69885,             0.88588,             0.86776,             0.86776,          0.00058231,           0.0030406,           0.0057583,            0.005842,            0.005842,            0.005842
                 128,           0.0021412,           0.0016021,            0.017661,               0.703,             0.86566,             0.87096,             0.87096,          0.00058641,           0.0030425,           0.0057472,            0.005809,            0.005809,            0.005809
                 129,           0.0022015,           0.0016327,            0.017817,              0.7151,              0.8739,             0.87164,             0.87164,          0.00059055,           0.0030417,           0.0057433,            0.005776,            0.005776,            0.005776
                 130,           0.0022137,           0.0016073,            0.017617,             0.71453,             0.85509,             0.87155,             0.87155,          0.00059794,           0.0030349,           0.0057345,            0.005743,            0.005743,            0.005743
                 131,           0.0021784,           0.0015864,            0.017535,             0.71363,             0.84851,             0.87133,             0.87133,          0.00060439,           0.0030477,           0.0057243,             0.00571,             0.00571,             0.00571
                 132,           0.0021623,           0.0016209,            0.017461,             0.71967,             0.83897,             0.86996,             0.86996,          0.00061061,           0.0030471,           0.0057211,            0.005677,            0.005677,            0.005677
                 133,           0.0021481,           0.0015902,              0.0174,             0.71811,             0.83901,             0.86971,             0.86971,          0.00060933,           0.0030441,           0.0057099,            0.005644,            0.005644,            0.005644
                 134,           0.0021001,            0.001559,            0.017354,             0.71874,             0.83975,              0.8703,              0.8703,          0.00061298,           0.0030531,           0.0057126,            0.005611,            0.005611,            0.005611
                 135,           0.0021737,           0.0015994,            0.017389,             0.71544,             0.84092,             0.87052,             0.87052,          0.00061594,           0.0030659,           0.0057024,            0.005578,            0.005578,            0.005578
                 136,           0.0020352,           0.0015611,            0.017165,             0.71442,             0.84033,             0.87147,             0.87147,          0.00061407,           0.0030714,           0.0057034,            0.005545,            0.005545,            0.005545
                 137,           0.0021383,           0.0015729,            0.017637,             0.71031,             0.83412,             0.87063,             0.87063,          0.00061323,           0.0030774,           0.0056979,            0.005512,            0.005512,            0.005512
                 138,           0.0020328,           0.0015837,            0.017401,             0.71128,              0.8371,             0.87187,             0.87187,          0.00060824,           0.0030858,           0.0056812,            0.005479,            0.005479,            0.005479
                 139,           0.0020973,           0.0015696,            0.017518,             0.71328,             0.83267,             0.87268,             0.87268,          0.00060462,           0.0030984,           0.0056687,            0.005446,            0.005446,            0.005446
                 140,           0.0020321,            0.001536,            0.017253,             0.71472,             0.83286,             0.87133,             0.87133,          0.00061439,           0.0031152,           0.0056544,            0.005413,            0.005413,            0.005413
                 141,           0.0020503,            0.001535,            0.017354,             0.72981,             0.84803,             0.87424,             0.87424,          0.00061474,           0.0031259,           0.0056517,             0.00538,             0.00538,             0.00538
